DOTT,Basic Surgery Principles of Asepsis and Antisepsis in Operation Theatre
DOTT,Basic Surgery OT Maintenance: Sterilization and Disinfection
DOTT,OT Techniques Surgical Hand Scrubbing Technique
DOTT,OT Techniques Gowning and Gloving Procedure
DOTT,Advanced OT Procedures Role of OT Technician in Major Surgical Procedures
DOTT,Advanced OT Procedures OT Documentation and Surgical Records
DOTT,Advanced OT Procedures Advanced OT Procedures
DOTT,Emergency OT Preparation of OT for Emergency Surgery
DOTT,OT Techniques Assisting in Minor Surgical Procedures
DOTT,OT Techniques Post-operative OT Cleaning and Waste Disposal
DMLT,Clinical Pathology Routine Urine Examination
DMLT,Clinical Pathology Stool Examination and Its Clinical Importance
DMLT,Sample Collection Blood Sample Collection by Venipuncture
DMLT,Clinical Pathology Urine Sample Collection and Preservation
DMLT,Hematology Complete Blood Count (CBC)
DMLT,Microbiology Sterilization Techniques Used in Microbiology Laboratory
DMLT,Biochemistry Liver Function Test (LFT)
DMLT,Hematology Peripheral Blood Smear Preparation and Staining
DMLT,Microbiology Gram Staining Technique
DMLT,Biochemistry Blood Glucose Estimation
EMT,Emergency Care Primary Survey (ABCDE) in Emergency Patients
EMT,First Aid Management of Unconscious Patient
EMT,Basic Life Support CPR Technique for Adult Patient
EMT,Emergency Procedures Bandaging and Wound Dressing Techniques
EMT,Trauma Care Management of Road Traffic Accident (RTA) Victims
EMT,Medical Emergencies Shock â€“ Types, Causes, and Emergency Management
EMT,Disaster Management Role of EMT in Disaster Management
EMT,Trauma Management Immobilization Techniques Using Splints
EMT,Airway Management Oxygen Therapy and Airway Maintenance
EMT,Patient Transport Safe Lifting, Moving, and Transportation of Patients
ICU,Basics of ICU ICU Environment and Monitoring Devices
ICU,Basics of ICU Vital Signs Monitoring in ICU
ICU,ICU Monitoring Measurement of Vital Signs
ICU,ICU Care Bed Making and Patient Positioning in ICU
ICU,Advanced ICU Care Care of Mechanically Ventilated Patients
ICU,Advanced ICU Care Arterial Blood Gas (ABG) Analysis
ICU,Advanced ICU Care Infection Control in ICU
ICU,Airway Management Endotracheal Tube Care and Suctioning
ICU,ICU Procedures Oxygen Therapy in ICU
ICU,ICU Care Cardiac Monitoring and ECG Lead Placement
